date,material_category,state,location,buying_price,unit,market_range_low,market_range_high,requires_handling_fee,source_type,source
16-09-2026,Copper,Punjab,Ludhiana,630.0,per kg,579.6,680.4,False,Derived (Formula from Metals.Dev API - MCX/LME-linked),DEMO MODE - Fallback Estimate (NOT live)
16-09-2026,Aluminium,Punjab,Ludhiana,148.8,per kg,136.9,160.7,False,Derived (Formula from Metals.Dev API - MCX/LME-linked),DEMO MODE - Fallback Estimate (NOT live)
16-09-2026,Iron,Punjab,Ludhiana,35.75,per kg,32.89,38.61,False,Derived (Formula from Metals.Dev API - MCX/LME-linked),DEMO MODE - Fallback Estimate (NOT live)
16-09-2026,Lead,Punjab,Ludhiana,99.0,per kg,91.08,106.92,False,Derived (Formula from Metals.Dev API - MCX/LME-linked),DEMO MODE - Fallback Estimate (NOT live)
16-09-2026,PCB,Punjab,Ludhiana,109.88,per kg,101.09,118.67,False,Derived (Composition Model - Copper-driven),DEMO MODE - Fallback Estimate (NOT live)
16-09-2026,Cable,Punjab,Ludhiana,247.15,per kg,227.38,266.92,False,Derived (Composition Model - Copper-driven),DEMO MODE - Fallback Estimate (NOT live)
16-09-2026,Motor,Punjab,Ludhiana,47.44,per kg,43.64,51.24,False,Derived (Composition Model - Copper-driven),DEMO MODE - Fallback Estimate (NOT live)
16-09-2026,Battery,Punjab,Ludhiana,42.27,per kg,38.89,45.65,False,Derived (Composition Model - Lead-driven),DEMO MODE - Fallback Estimate (NOT live)
16-09-2026,CRT,Punjab,Ludhiana,0.0,per kg,0.0,0.0,True,"Derived (Composition Model - Lead-driven, hazard-adjusted)",DEMO MODE - Fallback Estimate (NOT live)
16-09-2026,LCD,Punjab,Ludhiana,20.32,per kg,18.69,21.95,False,Derived (Composition Model - Aluminium-driven),DEMO MODE - Fallback Estimate (NOT live)
16-09-2026,Copper,Punjab,Amritsar,642.6,per kg,591.19,694.01,False,Derived (Formula from Metals.Dev API - MCX/LME-linked),DEMO MODE - Fallback Estimate (NOT live)
